,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000001.SZ,20190424,20190331,0.38,0.36,1.8914,1.8914,3.2886,0.6279,5.9178,24000000.0,7422000000.0,,,,,,,,0.0093,7542000000.0,,,,,,,,,,,,,112390000000.0,0.4337,13.2359,3.1,6.5457,2.2808,,,,22.9277,,,,22.9277,,29.6219,,,,29.7666,,3.0331,2.91,3.0233,,0.2143,,12.1324,,92.8916,14.0679,14.1529,,,,,,,,,13.0679,0.0765,,,,,0.0162,,0.8572,0.2143,10821000000.0,29.7789,,,3.0331,3.0233,0.2143,163.764,15.1515,9.0909,28.6,12.6165,12.8867,12.9037,13.2,28.3336,0.5096,5.0,3.2642,4.5392,15.8781,15.8781,15.8781,69.8647,12.3313
0,000002.SZ,20190430,20190331,0.102,0.102,4.3821,4.3821,0.7213,4.2932,8.4106,-7817222.02,1128443791.31,16952389344.23,1.1594,0.4611,0.3498,28.2571,0.0374,4.1962,0.0314,6123053976.59,7713440271.97,,-37714383634.8221,-48323708533.9321,1044035686154.6,21189440603.23,249751913801.17,106531497496.16,128500575812.11,177699072448.82,105471555006.63,485941325773.07,140238723358.75,0.1015,14.2721,-2.4198,12.7038,-3.9659,0.6987,-3.4164,-4.3775,6.6273,35.044,64.956,12.3435,6.6273,2.8349,5.7013,3.8072,,87.3424,12.1666,15.9452,0.7153,0.72,0.7203,0.5009,0.2082,0.8565,2.8612,2.0036,84.7734,6.5675,9.8295,83.3391,16.6609,8.2841,51.3955,32.4219,84.7945,15.2055,-0.024,5.5675,0.1198,0.6308,0.0977,0.5145,1.2062,-0.0203,2192.966,0.8328,0.0728,69774793251.79,12.138,2.8349,87.3424,0.7153,0.7203,0.2082,-55.2203,25.9259,25.9259,3.7508,98.0949,95.7689,25.2267,36.63,3.751,8.2442,1.1474,1.4777,1.1474,56.93,56.93,56.93,-83.5804,15.6891
0,000004.SZ,20190426,20190331,0.0637,0.0637,1.2736,1.2736,0.0093,0.1318,0.2234,9872126.08,-4522062.72,81949736.79,4.5357,4.5357,4.3971,3.896,0.512,109.3054,0.4174,-4780553.84,15339109.98,,73572174.5003,73572174.5003,25623841.37,800000.0,0.0,-83995883.48,110927421.82,90597242.8,6601359.32,134907666.98,29826843.18,0.0637,1.3645,0.0472,0.3552,0.4167,0.1827,0.8761,0.8761,4.4749,76.6223,23.3777,79.5159,4.4749,74.5321,5.3161,-0.3323,,104.4698,15.8198,14.3419,4.7806,4.78,-4.0408,5.9859,1.8677,2.1701,19.1224,23.9436,16.3786,1.1959,2.2898,72.0387,27.9613,68.7574,0.0,84.9365,96.9724,3.0276,0.1548,0.1959,4.3365,,4.198,,,0.1501,23.1006,7.4708,2.0878,1408284.61,14.6743,74.5321,104.4698,4.7806,-4.0408,1.8677,3.7081,160.0,160.0,-55.3453,18254.865,333.3791,159.6472,-1628.3,-55.3056,198.4805,4.897,-54.0598,4.8977,41.4665,41.4665,41.4665,210.0334,-13.0103
0,000005.SZ,20190425,20190331,-0.0168,-0.0168,0.0791,0.0791,0.6502,0.1413,-0.2973,-136423.8,-17614703.56,21451049.06,1.1794,0.8491,0.7642,0.2878,0.0495,2.9966,0.0276,-15124523.38,-10327673.31,,133619054.97,-30837427.58,943267861.82,9099525.81,438455709.5,351952538.03,1127277646.87,247862195.92,599814733.95,1999811403.23,-165229214.86,-0.0168,1.3901,0.0666,-0.1561,0.0177,-0.0098,0.1262,-0.0291,-21.4525,25.6226,74.3774,42.8874,-21.4525,3.1432,31.1436,8.6006,,118.0658,-20.7737,-12.3361,-1.1991,-1.2,-1.1899,-0.3401,-0.5914,-0.5073,-4.7964,-1.3604,47.1118,1.8908,2.0514,55.1994,44.8006,38.1846,21.9249,73.5824,99.3457,0.6543,0.051,0.8908,1.058,3.3561,0.8105,2.571,3.2029,0.0507,988.9005,-2.3656,-0.5845,58517950.35,-20.9367,3.1432,118.0658,-1.1991,-1.1899,-0.5914,84.1826,-209.8039,-209.8039,2366.6667,-207.3909,-209.8832,-209.9323,-207.47,2327.012,-200.0074,-1.1941,-5.422,-1.1919,-44.9761,-44.9761,-44.9761,-110.7354,9.9241
0,000006.SZ,20190430,20190331,0.0821,0.0821,0.3063,0.3063,0.3588,1.0992,2.2151,2242640.94,108639327.63,162370647.67,1.9436,0.7636,0.6702,53.7115,0.0389,47.3866,0.03,69005832.42,163174620.35,,-384242320.8548,-382989518.0348,4340730799.56,1715712.88,3047442451.84,-302052137.18,5917286760.47,5263536898.84,3151531716.61,9677266219.54,4474234482.38,0.0821,4.673,-0.1241,3.3143,-0.2385,0.1209,-0.2846,-0.2837,27.976,39.268,60.732,14.3174,27.976,0.5356,6.7647,7.0171,3.302,83.3115,32.2672,39.4624,1.7732,1.77,1.7374,1.1843,0.8396,1.4725,7.0928,4.7372,52.7107,2.1146,2.2034,77.3322,22.6678,42.2069,31.4907,65.1894,75.4845,24.5155,-0.03,1.1146,0.8537,2.0701,0.8007,1.9417,,-0.0227,2333.2818,3.3584,0.8048,1148143598.86,32.4453,0.5356,83.3115,1.7732,1.7374,0.8396,-40.5169,-61.2736,-61.2736,-11.8018,-55.287,-55.0874,-61.2582,-62.0,-11.8472,-64.0498,1.7883,3.568,1.7891,-14.7539,-14.7539,-14.7539,-68.8783,7.7651
0,000007.SZ,20190430,20190331,0.03,0.03,0.0267,0.0267,0.4532,0.026,-0.9031,7420560.87,1467644.63,6208318.89,3.1546,3.1521,1.5994,,0.0701,0.1398,0.0236,384931.34,11753776.52,,-7682957.7768,-7682957.7768,43802910.88,149327658.22,0.0,-10786719.47,190227468.62,94377471.39,83590751.92,203100643.25,-303871768.81,0.0257,0.5761,0.0406,-0.8771,0.0118,0.0339,-0.0222,-0.0222,96.0453,67.1958,32.8042,73.886,96.0453,,73.8347,0.0512,,95.8337,127.153,127.2172,4.5544,4.55,0.752,3.0063,2.2697,4.4685,18.2176,12.0252,48.7419,1.9509,2.0034,34.8737,65.1263,48.0092,0.0,98.2766,22.6805,77.3195,0.3211,0.9509,1.0335,,0.985,,,0.0728,3.1776,9.0788,2.2734,101429093.11,127.166,,95.8337,4.5544,0.752,2.2697,152.2558,250.0,250.0,417.1875,220.9589,220.9215,214.911,398.5558,417.554,318.3012,4.6503,2.7278,4.6605,-13.6433,-13.6433,-13.6433,128.7567,-47.3613
0,000008.SZ,20190427,20190331,0.0042,0.0042,0.111,0.111,0.9968,0.0168,0.6045,1336031.56,10404234.23,163857546.99,2.0225,1.75,1.3767,0.1028,0.0545,1.0103,0.0294,4762072.01,27936628.15,,-502372417.7706,-247502417.7706,1963930918.68,48568148.59,1083769696.0,343681941.91,3380457977.35,2876559548.74,2985754490.65,8501488699.72,1727975359.52,0.0042,2.6342,-0.0533,0.6214,-0.1401,0.01,-0.1807,-0.089,3.4458,53.0718,46.9282,57.3776,3.4458,17.0279,37.7353,2.6144,,98.4576,6.0549,9.0484,0.1604,0.16,0.1422,0.2663,0.1014,0.1761,0.6416,1.0652,29.449,1.4174,1.4333,54.1162,45.8838,32.152,12.748,86.1621,90.8582,9.1418,-0.0527,0.4174,2.3658,6.7589,1.0918,3.1192,9.836,-0.0479,1328.6586,0.4056,0.1119,357062801.59,6.434,17.0279,98.4576,0.1604,0.1422,0.1014,-48.0195,13.5135,13.5135,63.8399,8.0459,12.2392,11.5549,12.6,64.2934,8.4846,0.1673,0.455,0.1645,47.7124,47.7124,47.7124,-92.8452,2.8302
0,000009.SZ,20190430,20190331,0.03,0.03,1.0467,1.042,0.3837,0.121,0.956,71305862.18,-5217797.64,801150265.26,1.6597,0.848,0.7621,0.8743,0.1119,0.5465,0.0752,131792510.69,390500195.26,,130424249.0758,395272049.0758,7331980830.75,1255201911.36,11121433168.13,6304069888.61,2958928475.86,7975575645.63,7916077188.61,21424912421.07,2314896637.71,0.0307,2.4609,0.161,1.077,0.0192,0.1817,0.0607,0.1839,8.3018,35.7719,64.2281,28.4935,8.2649,11.3993,11.1586,5.8089,0.0305,94.1416,11.3752,17.3585,1.2517,1.25,-0.0988,1.3047,0.6212,1.3079,5.0068,5.2188,65.6689,2.9128,5.6687,66.8578,33.1422,9.8591,51.9089,24.6882,61.3429,38.6571,0.0286,1.9128,0.2684,0.4756,0.1501,0.2661,0.4694,0.0176,709.0001,2.4848,0.2208,5661763273.42,11.5496,11.3993,94.1416,1.2517,-0.0988,0.6212,15.4489,50.0,50.0,243.2836,157.7012,141.2063,87.5711,-105.08,243.3757,77.7303,0.3548,0.5437,0.3574,10.6304,10.8261,10.8261,-64.6088,5.537
0,000010.SZ,20190430,20190331,0.0035,0.0035,0.2435,0.2435,1.8239,0.0105,-2.3194,-420223.89,3301730.57,57862929.29,1.1253,0.6076,0.5479,0.2316,0.0731,2.8446,0.0595,5079048.46,48648506.79,,-196487977.0928,-173187977.0928,2338051447.24,13189725.64,250818924.6,135230354.84,151115981.59,316699716.92,389930071.76,1082453623.88,-1893009829.78,0.0035,0.515,-0.0743,-2.309,-0.0582,0.0593,-0.2397,-0.2112,9.954,28.9853,71.0147,25.9841,9.954,0.6959,10.9352,14.3531,,97.4558,10.231,24.3695,0.6848,0.41,0.7847,1.4507,0.5926,4.9057,2.7392,5.8028,75.7802,4.1289,7.9698,82.8137,17.1863,4.401,23.1713,39.0055,97.1104,2.8896,-0.0241,3.1288,0.1623,1.6834,0.0581,0.6025,1.1175,-0.0234,1195.7759,2.3704,0.0859,98203173.35,10.0164,0.6959,97.4558,0.6848,0.7847,0.5926,-30.4999,106.162,106.162,26.8701,143.5358,142.6276,106.1882,107.09,26.9243,116.236,0.6843,4.9008,0.6872,146.4919,146.4919,146.4919,103.8845,-61.8858
0,000011.SZ,20190430,20190331,0.1316,0.1316,0.6476,0.6476,0.1996,0.5027,4.0332,600213.65,77831706.94,188540440.95,2.6818,1.68,1.6636,5.3527,0.0622,11.78,0.0531,103416448.77,104560202.46,,-2597354311.9517,-2597354311.9517,2870745874.68,51211926.27,2194000000.0,-1066838968.03,2884314192.41,4828127455.11,1567288487.08,5792915822.96,2703250202.03,0.1316,5.7343,-0.1083,4.5358,-0.2154,0.1754,-4.3581,-4.3581,19.0826,48.8517,51.1483,7.5648,19.0826,0.9594,6.6036,0.0019,,73.2043,26.9183,27.0921,2.322,2.32,2.3043,1.4387,1.0134,1.6125,9.288,5.7548,58.7038,2.4215,2.1516,88.3418,11.6582,33.0965,37.8738,58.9946,56.1136,43.8864,-0.0225,1.4215,0.668,1.5577,0.5638,1.3146,,-0.0126,941.7882,4.0536,1.0792,434043463.94,27.0901,0.9594,73.2043,2.322,2.3043,1.0134,-16.717,46.7113,46.7113,33.2717,46.6146,46.4005,46.7201,46.74,33.2832,27.8202,2.3836,49.7349,2.3835,-29.1021,-29.1021,-29.1021,-82.2936,14.7863
