,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,000001.SZ,20190424,20190424,20190331,1,2,0.38,0.36,32476000000.0,32476000000.0,42661000000.0,,11579000000.0,9560000000.0,2142000000.0,17000000.0,,,,,,,,17000000.0,-642000000.0,2571000000.0,,169000000.0,22809000000.0,,21887000000.0,2019000000.0,304000000.0,,9620000000.0,,,,,,,,22809000000.0,,,,,9667000000.0,29000000.0,25000000.0,,9671000000.0,2225000000.0,7446000000.0,7446000000.0,,599000000.0,8045000000.0,8045000000.0,,,,,,
0,000002.SZ,20190430,20190430,20190331,1,1,0.102,0.102,48374630775.09,48374630775.09,,,,,,,,,,,,,,,,,,,42251576798.5,31422241430.86,,,4437555869.55,1371392084.53,2639014423.19,1841740626.81,,,,,,,,,,,,5885526191.83,117886759.56,131713306.23,,5871699645.16,2665765269.87,3205934375.29,1120626569.29,2085307806.0,695984271.48,3901918646.77,1830946335.55,2070972311.22,,,,,
1,000002.SZ,20190430,20190430,20190331,1,1,0.102,0.102,48374630775.09,48374630775.09,,,,,,,,,,,,,,,-35196479.59,-206560647.16,-312437198.49,,42251576798.5,31422241430.86,,,4437555869.55,1371392084.53,2639014423.19,1841740626.81,,,,,,,,,,,,5885526191.83,117886759.56,131713306.23,,5871699645.16,2665765269.87,3205934375.29,1120626569.29,2085307806.0,695984271.48,3901918646.77,1830946335.55,2070972311.22,8385434766.8,,,,
0,000004.SZ,20190426,20190426,20190331,1,1,0.0637,0.0637,106952791.02,106952791.02,,,,,,,,,,,,,,,,17460246.45,-1961277.69,,111733344.86,25003054.23,,,1685829.35,79714192.95,4668083.6,-355415.18,,,,,,,,,,,,16919692.61,18650.2,1243817.65,,15694525.16,10908527.06,4785998.1,5350063.36,-564065.26,,4785998.1,5350063.36,-564065.26,,,,,
1,000004.SZ,20190426,20190426,20190331,1,1,0.0637,0.0637,106952791.02,106952791.02,,,,,,,,,,,,,,,,17460246.45,-1961277.69,,111733344.86,25003054.23,,,1685829.35,79714192.95,4668083.6,-355415.18,,,,,,,,,,,,16919692.61,18650.2,1243817.65,,15694525.16,10908527.06,4785998.1,5350063.36,-564065.26,,4785998.1,5350063.36,-564065.26,-895969.02,,,,
2,000004.SZ,20190426,20190426,20181231,1,1,-0.2414,-0.2414,366868804.7,366868804.7,,,,,,,,,,,,,,,,3537764.73,3537764.73,,402175316.87,66479617.08,,,6927004.37,270885787.77,18719065.06,-1507419.71,23205485.19,,,,,,,,,,,-23860747.44,3494037.94,5733229.74,,-26099939.24,-4487257.14,-21612682.1,-20270783.78,-1341898.32,-152759.66,-21765441.76,-20423543.44,-1341898.32,-6154516.12,-436783.92,,,
0,000005.SZ,20190425,20190425,20190331,1,1,-0.0168,-0.0168,83719268.04,83719268.04,,,,,,,,,,,,,,,,-2267107.8,,,98843791.42,62268218.98,,,670565.23,2631443.58,20610203.46,7200381.67,,,,,,,,,,,,-17391631.18,15097.48,151521.28,,-17528054.98,431822.56,-17959877.54,-17751127.36,-208750.18,,-17959877.54,-17751127.36,-208750.18,,,,,
1,000005.SZ,20190425,20190425,20190331,1,1,-0.0168,-0.0168,83719268.04,83719268.04,,,,,,,,,,,,,,,,-2267107.8,,,98843791.42,62268218.98,,,670565.23,2631443.58,20610203.46,7200381.67,,,,,,,,,,,,-17391631.18,15097.48,151521.28,,-17528054.98,431822.56,-17959877.54,-17751127.36,-208750.18,,-17959877.54,-17751127.36,-208750.18,-7924141.71,,,,
2,000005.SZ,20190425,20190425,20181231,1,1,0.1406,0.1406,486180975.75,486180975.75,,,,,,,,,,,,,,,,-61438845.01,-60128764.63,,517971767.44,341745308.59,,,6104829.81,13758723.56,84363922.04,34389895.36,21481060.56,,,,,,,,,,,172744390.03,195412.46,516676.48,,172423126.01,15674499.93,156748626.08,148809093.72,7939532.36,17971620.9,174720246.98,166812957.71,7907289.27,4997938.66,16316255.71,,,
0,000006.SZ,20190430,20190430,20190331,1,1,0.0821,0.0821,413493627.58,413493627.58,,,,,,,,,,,,,,,,64416811.93,64416811.93,,344487795.16,251122979.91,,,20510021.12,2214487.02,27971552.38,29015307.72,13653447.01,,,,,,,,,,,133422644.35,777067.51,40399.23,,134159312.63,18480459.04,115678853.59,110881968.57,4796885.02,,115678853.59,110881968.57,4796885.02,111674587.15,,,,
