,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
0,000001.SZ,20190808,20190808,20190630,1,2,17170000000.0,56465000000.0,107076000000.0,10781000000.0,,,154602000000.0,,,,,,,,,,,82884000000.0,,,,15642000000.0,,,,,,197000000.0,,23715000000.0,,10578000000.0,,,,,,4769000000.0,,7568000000.0,,31732000000.0,2024866000000.0,,,269794000000.0,97580000000.0,65624000000.0,17916000000.0,,,,,,,,,,,,,3590766000000.0,,,137101000000.0,,16535000000.0,16005000000.0,,,,30997000000.0,,11765000000.0,8745000000.0,,,,,,,,,,,,,,417412000000.0,,,1456000000.0,,,,,277159000000.0,23039000000.0,2367562000000.0,,19311000000.0,,,,,,,,,,,,3334163000000.0,,39850000000.0,,,,256603000000.0,256603000000.0,3590766000000.0,,1583000000.0,23678000000.0,19953000000.0,,,,,,
0,000002.SZ,20190821,20190821,20190630,1,1,11302143001.0,12200245794.88,91754710278.12,47393246041.44,,143868825484.46,719780070.0,19736920.94,1864845191.86,,104346275164.21,,,790460528627.41,,,,,,,,,18545004447.19,1300127355362.9,,,126671468176.85,68112371589.42,,,,12249699001.55,4305214424.35,,,,,4856392447.89,,217604250.38,5929977870.17,19806735934.9,,9179377383.88,276929554578.36,,,,66779246.14,,,,,,,,,,,,,1577056909941.26,104952265434.86,4624880502.7,,,,,956811364.81,224577811176.4,620829665.1,,,5494572222.57,13804294671.9,,,,,,,,,,,66055174701.74,46235518760.58,1161742027298.39,53717170376.29,,,160899461.8,400434957.86,,2305007123.39,182847343835.41,,,,,,,,,,,,,,,,,1344589371133.8,,,,,71450628353.43,161016910454.03,232467538807.46,1577056909941.26,,-1633434661.41,,,,,,,4678953550.14,
1,000002.SZ,20190821,20190821,20190630,1,1,11302143001.0,12200245794.88,91754710278.12,47393246041.44,,143868825484.46,719780070.0,19736920.94,1864845191.86,,104346275164.21,,,790460528627.41,,,,,,,,,18545004447.19,1300127355362.9,,,126671468176.85,68112371589.42,,,,12249699001.55,4305214424.35,,,,,4856392447.89,,217604250.38,5929977870.17,19806735934.9,,9179377383.88,276929554578.36,,,,66779246.14,,,,,,,,,,,,,1577056909941.26,104952265434.86,4624880502.7,,,,,956811364.81,224577811176.4,620829665.1,,,5494572222.57,13804294671.9,12375372109.74,,220357879489.34,,,,,,,,66055174701.74,46235518760.58,1161742027298.39,53717170376.29,,,160899461.8,400434957.86,,2305007123.39,182847343835.41,,,,,,,,,,,,,,,,,1344589371133.8,,,,,71450628353.43,161016910454.03,232467538807.46,1577056909941.26,,-1633434661.41,,,,,,,4678953550.14,
0,000004.SZ,20190831,20190831,20190630,1,1,83976684.0,935071.56,11491525.36,11066429.89,,80748325.94,,,19920594.11,,917343.03,,,,,,,,,,,,,103316683.6,,,38377018.47,441590.12,,,,,,,,,,,,,3123213.15,2030205.25,,,44899832.35,,,,,,,,,,,,,,,,,148216515.95,,,,,,,,1325853.65,,,,1165857.37,7318863.41,,212157.58,,,,,,,,,,,21347573.26,,,,,,,,800000.0,,,,,,,,,,,,,,,,,22147573.26,,,,,18751991.54,107316951.15,126068942.69,148216515.95,,-152759.66,,,,,,,,
1,000004.SZ,20190831,20190831,20190630,1,1,83976684.0,935071.56,11491525.36,11066429.89,,80748325.94,,,19920594.11,1730420.52,917343.03,,,,,,,,,,,,,103316683.6,,,38377018.47,441590.12,,,,927805.36,,,,,,,,,3123213.15,2030205.25,,,44899832.35,,,,,,,,,,,,,,,,,148216515.95,,,,,,,,1325853.65,,,,1165857.37,7318863.41,,212157.58,11324841.25,,,,,,,,,,21347573.26,,,800000.0,,,,,800000.0,,,,,,,,,,,,,,,,,22147573.26,,,,,18751991.54,107316951.15,126068942.69,148216515.95,,-152759.66,,,,,,,,
0,000005.SZ,20190829,20190829,20190630,1,1,1058536842.0,688243672.54,-234762340.65,149519070.67,,59994161.28,,2076624.48,373418249.76,,37236026.86,,,430993781.03,,67888263.91,,,,,,,1150285.71,1680687687.25,,,73665315.74,26258736.97,,,747815603.31,,,,,,,66694658.41,,222436019.95,15210937.16,39022718.77,,,1242132316.46,,,,,,,,,,,,,,,,,2922820003.71,,381000000.0,,,,,41531229.0,301089556.01,24103429.6,,,12183893.58,182320659.08,394548.75,6.59,,,,,,,,,5188677.64,41719992.45,1270394837.81,,,,41327.28,2194500.0,,,6130888.19,,,,,,,,,,,,,,,,,1276525726.0,,,,,91880089.74,1554414187.97,1646294277.71,2922820003.71,,-107123056.59,,,,,,,,
1,000005.SZ,20190829,20190829,20190630,1,1,1058536842.0,688243672.54,-234762340.65,149519070.67,,59994161.28,25312320.0,2076624.48,373418249.76,682617974.22,37236026.86,,,430993781.03,,67888263.91,,,,,,,1150285.71,1680687687.25,,,73665315.74,26258736.97,,,747815603.31,30470102.19,4274223.96,,,,,66694658.41,,222436019.95,15210937.16,39022718.77,,,1242132316.46,,,,,,,,,,,,,,,,,2922820003.71,,381000000.0,,,,,41531229.0,301089556.01,24103429.6,,,12183893.58,182320659.08,394548.75,6.59,280862845.11,,,,,,,,5188677.64,41719992.45,1270394837.81,,3895060.91,,41327.28,2194500.0,,,6130888.19,,,,,,,,,,,,,,,,,1276525726.0,,,,,91880089.74,1554414187.97,1646294277.71,2922820003.71,,-107123056.59,,,,,,,,
0,000006.SZ,20190816,20190816,20190630,1,1,1349995046.0,484321623.07,2819650433.02,1483862592.91,,4468069976.1,,,6946571.71,80694403.56,104406250.0,,,7426439235.45,,,,,,,,,255381112.42,12341937549.24,,,,1128332904.21,,,,12739040.69,,,,,,,,,20168437.84,422706738.98,,1640367221.43,3224314343.15,,,,,,,,,,,,,,,,,15566251892.39,2054600000.0,600000000.0,,,,,,797419960.91,3260315109.92,,,27957080.82,709261586.89,16450633.56,2293302.1,617839739.32,,,,,,,,116000000.0,317312.7,6147854726.22,898755802.33,,,,1692593.72,,,2955048396.05,,,,,,,,,,,,,,,,,9102903122.27,,,,,325519075.12,6137829695.0,6463348770.12,15566251892.39,,,,,,,,,,
1,000006.SZ,20190816,20190816,20190630,1,1,1349995046.0,484321623.07,2819650433.02,1483862592.91,,4468069976.1,,,6946571.71,,104406250.0,,,7426439235.45,,,,,,,,,255381112.42,12341937549.24,,,,1128332904.21,,,,,,,,,,,,,20168437.84,422706738.98,,1640367221.43,3224314343.15,,,,,,,,,,,,,,,,,15566251892.39,2054600000.0,600000000.0,,,,,,797419960.91,3260315109.92,,,27957080.82,709261586.89,16450633.56,2293302.1,,,,,,,,,116000000.0,317312.7,6147854726.22,898755802.33,,,,1692593.72,,,2955048396.05,,,,,,,,,,,,,,,,,9102903122.27,,,,,325519075.12,6137829695.0,6463348770.12,15566251892.39,,,,,,,,,,
0,000007.SZ,20190831,20190831,20190630,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395440789.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205347787.71,,,,,,,,395440789.28,,,,,,,,,,
1,000007.SZ,20190831,20190831,20190630,1,1,346448044.0,157024158.46,-325863975.46,8998897.98,,12641000.09,51759703.51,,191580.62,8902906.5,29400.0,,,127762.6,,,,,,,,,64444178.09,138096531.41,,,101113068.65,35264492.64,,,,65062843.05,,,,,,258825.22,,,1879198.8,4765429.51,,,257344257.87,,,,,,,,,,,,,,,,,395440789.28,,,,,,,,6121416.19,428343.72,,,950620.6,1120664.05,,,32034493.17,,,,,,,,,,40655537.73,,,,164692249.98,,,,164692249.98,,,,,,,,,,,,,,,,,205347787.71,,,,,3485876.59,186607124.98,190093001.57,395440789.28,,,,,,,,,,
0,000008.SZ,20190829,20190829,20190630,1,1,2780795346.0,2771978529.21,1707971194.95,46853663.31,43596110.59,714535910.99,62344041.65,140574389.32,2942090619.3,97156286.31,541477470.97,,578803.72,862616600.69,,,,,,,,,69486920.52,5430861043.47,,,87813331.02,18618860.51,,,,313579117.8,18557171.0,,367.31,,,248003487.22,18932300.61,3596024272.86,33185901.96,81353072.8,,15438515.32,4936863263.44,,,,,,,,,,,,,,,,,10367724306.91,162487000.0,914560310.0,,,,,587345221.32,755465660.68,124850602.19,,,45654823.56,48078545.99,1551731.05,6650616.18,278256087.84,,,,,,,,,22990116.06,2787126100.87,,,,,28820652.28,18477811.98,,209785464.26,,1722386.0,,,,,,,,,,,,,,,2996911565.13,78103749.75,,,,97721647.47,7273091094.31,7370812741.78,10367724306.91,,,,,,,,,,
0,000009.SZ,20190831,20190831,20190630,1,1,2149344971.0,849856619.72,2073521665.72,260063367.29,7057528.19,5243854528.87,528195800.7,731297494.79,2268526441.89,805334919.99,320477615.57,,4831899.36,9616441175.92,,,,,,,,,385061935.53,19952272773.75,,,1051490257.62,271218430.01,,,,4064882678.74,1393056300.1,,,,,1103781079.41,30054114.51,505166618.34,175677688.51,527675492.88,307019847.25,236420705.76,10028342667.37,,,,,,,,,,,,,,,,,29980615441.12,2069971262.93,3711462600.0,,,,,344294213.24,2690718975.53,1281451765.16,,,107662550.82,874684829.52,201981195.44,89020489.89,1345852509.27,,,,,,,,434160012.97,6115.18,11081295257.02,5115799558.5,628546601.86,5000000.0,12924283.45,88474585.47,486914210.97,88564305.56,8497399850.66,,,,,,,,,,,,,,,,,19578695107.68,,,,,5059045732.34,5342874601.1,10401920333.44,29980615441.12,1205041.92,3030449.18,,,,,,,48250961.13,
