,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,002786.SZ,8.22,8.41,7.95,8.06,8.3,-0.2400000000000002,-2.8916,61032.51,49532.187,1.6072,1.16,8.302,53101.82,8.538,63831.462,8.5695,78261.7325
1,20200122,002786.SZ,8.25,8.4,8.02,8.3,8.22,0.08000000000000007,0.9732,53863.0,44435.509,1.4184,1.0,8.412,52707.918,8.642,72398.276,8.588,78143.375
2,20200121,002786.SZ,8.47,8.49,8.15,8.22,8.48,-0.2599999999999998,-3.066,52712.59,43805.785,1.3881,0.91,8.514,54084.918,8.703,83222.974,8.5965,78071.375
3,20200120,002786.SZ,8.42,8.5,8.35,8.48,8.45,0.030000000000001137,0.355,38475.0,32471.278,1.0132,0.6,8.616,57861.152,8.758,86154.81,8.604,80122.1635
4,20200117,002786.SZ,8.7,8.7,8.42,8.45,8.61,-0.16000000000000014,-1.8583,59426.0,50689.195,1.5649,0.8,8.69,64016.352,8.782,94627.023,8.6185,82693.032
5,20200116,002786.SZ,8.81,8.83,8.6,8.61,8.81,-0.20000000000000107,-2.2701,59063.0,51407.489,1.5554,0.64,8.774,74561.104,8.792,96582.023,8.6465,84841.2985
6,20200115,002786.SZ,8.74,8.88,8.71,8.81,8.73,0.08000000000000007,0.9164,60748.0,53410.643,1.5997,0.54,8.872,92088.634,8.78,97725.256,8.661,89041.623
7,20200114,002786.SZ,8.95,8.95,8.71,8.73,8.85,-0.11999999999999922,-1.3559,71593.76,63013.874,1.8853,0.63,8.892,112361.03,8.732,96439.157,8.6715,93610.173
8,20200113,002786.SZ,8.87,8.9,8.71,8.85,8.87,-0.019999999999999574,-0.2255,69251.0,60910.482,1.8236,0.55,8.9,114448.468,8.696,97112.18,8.6875,99890.6605
9,20200110,002786.SZ,9.09,9.09,8.78,8.87,9.1,-0.23000000000000043,-2.5275,112149.76,99864.174,2.9533,0.95,8.874,125237.694,8.643,97755.38,8.6935,114976.454
10,20200109,002786.SZ,8.98,9.14,8.85,9.1,8.91,0.1899999999999995,2.1324,146700.65,132327.312,3.8632,1.42,8.81,118602.942,8.601,92692.003,8.695,113673.7765
11,20200108,002786.SZ,8.76,9.07,8.65,8.91,8.77,0.14000000000000057,1.5964,162109.98,144174.015,4.269,2.01,8.688,103361.878,8.534,83888.474,8.6445,111427.0945
12,20200107,002786.SZ,8.82,8.86,8.63,8.77,8.72,0.049999999999998934,0.5734,82030.95,71538.099,2.1602,1.03,8.572,80517.284,8.49,72919.776,8.6135,107205.422
13,20200106,002786.SZ,8.48,8.87,8.3,8.72,8.55,0.16999999999999993,1.9883,123197.13,106517.646,3.2442,1.75,8.492,79775.892,8.45,74089.517,8.5925,107569.9745
14,20200103,002786.SZ,8.5,8.58,8.43,8.55,8.49,0.0600000000000005,0.7067,78976.0,67199.842,2.0797,1.18,8.412,70273.066,8.455,70759.041,8.572,107986.7675
15,20200102,002786.SZ,8.37,8.52,8.36,8.49,8.33,0.16000000000000014,1.9208,70495.33,59648.796,1.8564,1.09,8.392,66781.064,8.501,73100.574,8.549,108576.337
16,20191231,002786.SZ,8.35,8.45,8.22,8.33,8.37,-0.03999999999999915,-0.4779,47887.01,39838.612,1.261,0.73,8.38,64415.07,8.542,80357.99,8.5205,107964.659
17,20191230,002786.SZ,8.22,8.43,7.9,8.37,8.32,0.049999999999998934,0.601,78323.99,64223.904,2.0626,1.15,8.408,65322.268,8.611,90781.189,8.504,109482.4655
18,20191227,002786.SZ,8.44,8.64,8.3,8.32,8.45,-0.129999999999999,-1.5385,75683.0,64170.994,1.993,1.06,8.408,68403.142,8.679,102669.141,8.48,109731.816
