,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,603709.SH,24.46,24.53,23.6,23.69,24.4,-0.7099999999999973,-2.9098,4996.0,11962.595,2.498,0.72,24.988,6781.354,25.474,5899.477,25.4645,5634.0545
1,20200122,603709.SH,24.7,24.78,24.25,24.4,24.68,-0.28000000000000114,-1.1345,4667.15,11420.752,2.3336,0.71,25.45,6953.954,25.693,5899.112,25.527,5650.053
2,20200121,603709.SH,25.02,25.12,24.65,24.68,25.99,-1.3099999999999987,-5.0404,9812.0,24407.783,4.906,1.74,25.77,6607.124,25.813,5980.392,25.565,5858.2765
3,20200120,603709.SH,26.15,26.22,25.96,25.99,26.18,-0.19000000000000128,-0.7257,6885.62,17927.458,3.4428,1.28,26.052,5651.494,25.933,5641.812,25.5845,5669.0265
4,20200117,603709.SH,26.1,26.18,25.89,26.18,26.0,0.17999999999999972,0.6923,7546.0,19650.411,3.773,1.5,26.034,5382.57,25.893,5498.25,25.5775,5767.5145
5,20200116,603709.SH,25.85,26.24,25.78,26.0,26.0,0.0,0.0,5859.0,15218.165,2.9295,1.21,25.96,5017.6,25.83,5207.251,25.5585,5740.6145
6,20200115,603709.SH,26.08,26.08,25.82,26.0,26.09,-0.08999999999999986,-0.345,2933.0,7602.51,1.4665,0.55,25.936,4844.27,25.777,5141.447,25.5255,5668.2145
7,20200114,603709.SH,25.94,26.1,25.81,26.09,25.9,0.19000000000000128,0.7336,5033.85,13073.234,2.5169,0.89,25.856,5353.66,25.697,5177.132,25.4985,5870.7645
8,20200113,603709.SH,25.88,25.91,25.5,25.9,25.81,0.08999999999999986,0.3487,5541.0,14255.491,2.7705,0.99,25.814,5632.13,25.617,5480.347,25.478,5939.922
9,20200110,603709.SH,25.92,26.05,25.8,25.81,25.88,-0.07000000000000028,-0.2705,5721.15,14827.309,2.8606,1.06,25.752,5613.93,25.528,5410.947,25.444,5915.4225
10,20200109,603709.SH,25.69,26.15,25.69,25.88,25.6,0.2799999999999976,1.0937,4992.35,12944.355,2.4962,0.92,25.7,5396.902,25.455,5368.632,25.394,5975.965
11,20200108,603709.SH,25.87,25.95,25.47,25.6,25.88,-0.2799999999999976,-1.0819,5479.95,14108.457,2.74,1.1,25.618,5438.624,25.361,5400.994,25.3375,6009.604
12,20200107,603709.SH,25.59,25.99,25.5,25.88,25.59,0.28999999999999915,1.1333,6426.2,16577.67,3.2131,1.21,25.538,5000.604,25.317,5736.161,25.2925,6077.5565
13,20200106,603709.SH,25.49,25.86,25.34,25.59,25.55,0.03999999999999915,0.1566,5450.0,13956.166,2.725,1.05,25.42,5328.564,25.236,5696.241,25.212,5896.6145
14,20200103,603709.SH,25.48,25.61,25.31,25.55,25.47,0.08000000000000185,0.3141,4636.01,11822.525,2.318,0.87,25.304,5207.964,25.262,6036.779,25.138,5779.09
15,20200102,603709.SH,25.2,25.59,25.2,25.47,25.2,0.2699999999999996,1.0714,5200.96,13234.645,2.6005,0.97,25.21,5340.362,25.287,6273.978,25.059,5720.52
16,20191231,603709.SH,25.31,25.44,25.12,25.2,25.29,-0.08999999999999986,-0.3559,3289.85,8299.924,1.6449,0.51,25.104,5363.364,25.274,6194.982,24.9785,5605.5205
17,20191230,603709.SH,24.86,25.36,24.61,25.29,25.01,0.2799999999999976,1.1196,8066.0,20145.056,4.033,1.33,25.096,6471.718,25.3,6564.397,24.9125,5622.678
18,20191227,603709.SH,25.12,25.43,25.01,25.01,25.08,-0.06999999999999673,-0.2791,4847.0,12228.202,2.4235,0.71,25.052,6063.918,25.339,6399.497,24.8305,5317.478
19,20191226,603709.SH,24.91,25.15,24.88,25.08,24.94,0.13999999999999702,0.5613,5298.0,13254.089,2.649,0.74,25.22,6865.594,25.36,6419.898,24.76,5200.778
20,20191225,603709.SH,25.18,25.18,24.8,24.94,25.16,-0.21999999999999886,-0.8744,5315.97,13269.49,2.658,0.76,25.364,7207.594,25.333,6583.298,24.696,5089.3255
21,20191224,603709.SH,25.1,25.37,24.9,25.16,25.07,0.08999999999999986,0.359,8831.62,22184.04,4.4158,1.33,25.444,7026.6,25.314,6618.214,24.629,4952.927
22,20191223,603709.SH,25.69,25.85,25.07,25.07,25.85,-0.7800000000000011,-3.0174,6027.0,15343.149,3.0135,0.89,25.504,6657.076,25.268,6418.952,24.5635,4630.096
23,20191220,603709.SH,25.75,26.01,25.55,25.85,25.8,0.05000000000000071,0.1938,8855.38,22855.595,4.4277,1.48,25.626,6735.076,25.188,6096.988,24.5,4505.396
24,20191219,603709.SH,25.51,26.0,25.26,25.8,25.34,0.46000000000000085,1.8153,7008.0,17957.074,3.504,1.18,25.5,5974.202,25.014,5521.401,24.412,4294.077
25,20191218,603709.SH,25.53,25.65,25.33,25.34,25.46,-0.120000000000001,-0.4713,4411.0,11224.007,2.2055,0.71,25.302,5959.002,24.831,5167.062,24.3355,4097.377
26,20191217,603709.SH,25.77,25.78,25.46,25.46,25.68,-0.21999999999999886,-0.8567,6984.0,17894.313,3.492,1.13,25.184,6209.828,24.683,5016.059,24.2935,4035.658
27,20191216,603709.SH,25.39,25.75,25.2,25.68,25.22,0.46000000000000085,1.8239,6417.0,16391.323,3.2085,1.18,25.032,6180.828,24.525,4680.959,24.2645,3966.758
28,20191213,603709.SH,24.99,25.25,24.9,25.22,24.81,0.41000000000000014,1.6526,5051.01,12680.433,2.5255,1.0,24.75,5458.9,24.322,4235.459,24.1995,3873.108
29,20191212,603709.SH,24.75,24.95,24.53,24.81,24.75,0.05999999999999872,0.2424,6932.0,17153.776,3.466,1.58,24.528,5068.6,24.16,3981.658,24.138,3858.3575
30,20191211,603709.SH,24.68,24.97,24.45,24.75,24.7,0.05000000000000071,0.2024,5665.13,13979.107,2.8326,1.48,24.36,4375.122,24.059,3595.353,24.1255,3609.289
31,20191210,603709.SH,24.27,24.77,24.12,24.7,24.27,0.4299999999999997,1.7717,6839.0,16741.338,3.4195,2.15,24.182,3822.29,23.944,3287.64,24.113,3493.8825
32,20191209,603709.SH,24.19,24.36,24.01,24.27,24.11,0.16000000000000014,0.6636,2807.36,6800.42,1.4037,0.93,24.018,3181.09,23.859,2841.24,24.1105,3315.3825
33,20191206,603709.SH,23.9,24.12,23.87,24.11,23.97,0.14000000000000057,0.5841,3099.51,7436.216,1.5498,1.07,23.894,3012.018,23.812,2913.804,24.1285,3550.1145
34,20191205,603709.SH,23.81,24.03,23.73,23.97,23.86,0.10999999999999943,0.461,3464.61,8292.975,1.7323,1.23,23.792,2894.716,23.81,3066.753,24.207,3699.439
35,20191204,603709.SH,23.78,23.98,23.68,23.86,23.88,-0.019999999999999574,-0.0838,2900.97,6914.83,1.4505,1.05,23.758,2815.584,23.84,3027.692,24.2955,3801.4585
